dataset,model,k_reveal,n_users,recall,recall_std,recall_ci_lo,recall_ci_hi,ndcg,ndcg_std,ndcg_ci_lo,ndcg_ci_hi,mrr,mrr_std,mrr_ci_lo,mrr_ci_hi,hr,hr_std,hr_ci_lo,hr_ci_hi,precision,precision_std,precision_ci_lo,precision_ci_hi,intra_diversity,intra_diversity_std,intra_diversity_ci_lo,intra_diversity_ci_hi,auc,auc_std,auc_ci_lo,auc_ci_hi,novelty,novelty_std,novelty_ci_lo,novelty_ci_hi,avg_risk,avg_risk_std,avg_risk_ci_lo,avg_risk_ci_hi,head_recall,head_recall_std,head_recall_ci_lo,head_recall_ci_hi,tail_recall,tail_recall_std,tail_recall_ci_lo,tail_recall_ci_hi,coverage,coverage_std,coverage_ci_lo,coverage_ci_hi,coverage_relative,coverage_relative_std,coverage_relative_ci_lo,coverage_relative_ci_hi,gini,gini_std,gini_ci_lo,gini_ci_hi,personalisation,personalisation_std,personalisation_ci_lo,personalisation_ci_hi
MovieLens-1M,ACS,5,100,0.0369,0.0,0.0369,0.0369,0.198,0.0,0.198,0.198,0.2825,0.0,0.2825,0.2825,0.7,0.0,0.7,0.7,0.211,0.0,0.211,0.211,0.3858,0.0,0.3858,0.3858,0.6021,0.0,0.6021,0.6021,11.0925,0.0,11.0925,11.0925,0.3317,0.0,0.3317,0.3317,0.0424,0.0,0.0424,0.0424,0.0186,0.0,0.0186,0.0186,0.1445,0.0,0.1445,0.1445,0.561,0.0,0.561,0.561,0.3499,0.0,0.3499,0.3499,0.9865,0.0,0.9865,0.9865
MovieLens-1M,ACS+R(a),5,100,0.0454,0.0,0.0454,0.0454,0.2823,0.0,0.2823,0.2823,0.4854,0.0,0.4854,0.4854,0.75,0.0,0.75,0.75,0.263,0.0,0.263,0.263,0.3832,0.0,0.3832,0.3832,0.6032,0.0,0.6032,0.6032,10.4776,0.0,10.4776,10.4776,0.046,0.0,0.046,0.046,0.0605,0.0,0.0605,0.0605,0.0062,0.0,0.0062,0.0062,0.0721,0.0,0.0721,0.0721,0.28,0.0,0.28,0.28,0.5354,0.0,0.5354,0.5354,0.9473,0.0,0.9473,0.9473
MovieLens-1M,ACS+SND,5,100,0.0236,0.0,0.0236,0.0236,0.1699,0.0,0.1699,0.1699,0.2912,0.0,0.2912,0.2912,0.64,0.0,0.64,0.64,0.173,0.0,0.173,0.173,0.4052,0.0,0.4052,0.4052,0.601,0.0,0.601,0.601,11.6833,0.0,11.6833,11.6833,0.3815,0.0,0.3815,0.3815,0.0261,0.0,0.0261,0.0261,0.0186,0.0,0.0186,0.0186,0.1713,0.0,0.1713,0.1713,0.665,0.0,0.665,0.665,0.2625,0.0,0.2625,0.2625,0.9927,0.0,0.9927,0.9927
MovieLens-1M,ACS+SND+R(a),5,100,0.045,0.0,0.045,0.045,0.2786,0.0,0.2786,0.2786,0.4722,0.0,0.4722,0.4722,0.75,0.0,0.75,0.75,0.261,0.0,0.261,0.261,0.3861,0.0,0.3861,0.3861,0.6032,0.0,0.6032,0.6032,10.5131,0.0,10.5131,10.5131,0.0462,0.0,0.0462,0.0462,0.0601,0.0,0.0601,0.0601,0.0062,0.0,0.0062,0.0062,0.0737,0.0,0.0737,0.0737,0.286,0.0,0.286,0.286,0.5297,0.0,0.5297,0.5297,0.9502,0.0,0.9502,0.9502
MovieLens-1M,ACS+SND+R(a) [EASE-nar],5,100,0.0386,0.0,0.0386,0.0386,0.2679,0.0,0.2679,0.2679,0.4161,0.0,0.4161,0.4161,0.75,0.0,0.75,0.75,0.262,0.0,0.262,0.262,0.4296,0.0,0.4296,0.4296,0.658,0.0,0.658,0.658,10.196,0.0,10.196,10.196,0.0275,0.0,0.0275,0.0275,0.0507,0.0,0.0507,0.0507,0.0137,0.0,0.0137,0.0137,0.0567,0.0,0.0567,0.0567,0.22,0.0,0.22,0.22,0.4874,0.0,0.4874,0.4874,0.9515,0.0,0.9515,0.9515
MovieLens-1M,ACS+SND+R(a)+EASE,5,100,0.0511,0.0,0.0511,0.0511,0.312,0.0,0.312,0.312,0.5229,0.0,0.5229,0.5229,0.8,0.0,0.8,0.8,0.289,0.0,0.289,0.289,0.3851,0.0,0.3851,0.3851,0.6043,0.0,0.6043,0.6043,10.2789,0.0,10.2789,10.2789,0.0497,0.0,0.0497,0.0497,0.0674,0.0,0.0674,0.0674,0.0059,0.0,0.0059,0.0059,0.0682,0.0,0.0682,0.0682,0.265,0.0,0.265,0.265,0.5261,0.0,0.5261,0.5261,0.949,0.0,0.949,0.949
MovieLens-1M,ACS+SND+R(a)+EASE [EASE-nar],5,100,0.0454,0.0,0.0454,0.0454,0.3207,0.0,0.3207,0.3207,0.5117,0.0,0.5117,0.5117,0.77,0.0,0.77,0.77,0.302,0.0,0.302,0.302,0.4305,0.0,0.4305,0.4305,0.6587,0.0,0.6587,0.6587,9.9042,0.0,9.9042,9.9042,0.0294,0.0,0.0294,0.0294,0.0608,0.0,0.0608,0.0608,0.005,0.0,0.005,0.005,0.0546,0.0,0.0546,0.0546,0.212,0.0,0.212,0.212,0.5161,0.0,0.5161,0.5161,0.9459,0.0,0.9459,0.9459
MovieLens-1M,EASE,5,100,0.0746,0.0,0.0746,0.0746,0.4153,0.0,0.4153,0.4153,0.6125,0.0,0.6125,0.6125,0.92,0.0,0.92,0.92,0.398,0.0,0.398,0.398,0.4209,0.0,0.4209,0.4209,0.5994,0.0,0.5994,0.5994,9.1,0.0,9.1,9.1,0.311,0.0,0.311,0.311,0.0967,0.0,0.0967,0.0967,0.0014,0.0,0.0014,0.0014,0.0886,0.0,0.0886,0.0886,0.344,0.0,0.344,0.344,0.5002,0.0,0.5002,0.5002,0.9645,0.0,0.9645,0.9645
MovieLens-1M,LinUCB,5,100,0.0173,0.0,0.0173,0.0173,0.109,0.0,0.109,0.109,0.1917,0.0,0.1917,0.1917,0.53,0.0,0.53,0.53,0.115,0.0,0.115,0.115,0.4042,0.0,0.4042,0.4042,0.5604,0.0,0.5604,0.5604,13.0169,0.0,13.0169,13.0169,0.4065,0.0,0.4065,0.4065,0.0189,0.0,0.0189,0.0189,0.0097,0.0,0.0097,0.0097,0.1187,0.0,0.1187,0.1187,0.461,0.0,0.461,0.461,0.3836,0.0,0.3836,0.3836,0.9843,0.0,0.9843,0.9843
MovieLens-1M,Popularity-Safe,5,100,0.1061,0.0,0.1061,0.1061,0.5081,0.0,0.5081,0.5081,0.7289,0.0,0.7289,0.7289,0.97,0.0,0.97,0.97,0.488,0.0,0.488,0.488,0.4313,0.0,0.4313,0.4313,0.8756,0.0,0.8756,0.8756,8.1419,0.0,8.1419,8.1419,0.2463,0.0,0.2463,0.2463,0.1308,0.0,0.1308,0.1308,0.0,0.0,0.0,0.0,0.0129,0.0,0.0129,0.0129,0.05,0.0,0.05,0.05,0.5115,0.0,0.5115,0.5115,0.7578,0.0,0.7578,0.7578
MovieLens-1M,R(a),5,100,0.0452,0.0,0.0452,0.0452,0.2709,0.0,0.2709,0.2709,0.473,0.0,0.473,0.473,0.74,0.0,0.74,0.74,0.251,0.0,0.251,0.251,0.3875,0.0,0.3875,0.3875,0.6021,0.0,0.6021,0.6021,10.735,0.0,10.735,10.735,0.0382,0.0,0.0382,0.0382,0.0617,0.0,0.0617,0.0617,0.0034,0.0,0.0034,0.0034,0.0652,0.0,0.0652,0.0652,0.253,0.0,0.253,0.253,0.5475,0.0,0.5475,0.5475,0.9399,0.0,0.9399,0.9399
MovieLens-1M,SASRec,5,100,0.2091,0.0,0.2091,0.2091,0.6757,0.0,0.6757,0.6757,0.7973,0.0,0.7973,0.7973,1.0,0.0,1.0,1.0,0.674,0.0,0.674,0.674,0.4319,0.0,0.4319,0.4319,0.9766,0.0,0.9766,0.9766,10.2548,0.0,10.2548,10.2548,0.3694,0.0,0.3694,0.3694,0.2186,0.0,0.2186,0.2186,0.1754,0.0,0.1754,0.1754,0.1339,0.0,0.1339,0.1339,0.52,0.0,0.52,0.52,0.386,0.0,0.386,0.386,0.9832,0.0,0.9832,0.9832
MovieLens-1M,SND,5,100,0.0216,0.0,0.0216,0.0216,0.1082,0.0,0.1082,0.1082,0.2195,0.0,0.2195,0.2195,0.53,0.0,0.53,0.53,0.107,0.0,0.107,0.107,0.4188,0.0,0.4188,0.4188,0.5917,0.0,0.5917,0.5917,13.4305,0.0,13.4305,13.4305,0.4801,0.0,0.4801,0.4801,0.0177,0.0,0.0177,0.0177,0.032,0.0,0.032,0.032,0.2212,0.0,0.2212,0.2212,0.859,0.0,0.859,0.859,0.1239,0.0,0.1239,0.1239,0.9981,0.0,0.9981,0.9981
MovieLens-1M,SND+R(a),5,100,0.0455,0.0,0.0455,0.0455,0.261,0.0,0.261,0.261,0.4469,0.0,0.4469,0.4469,0.74,0.0,0.74,0.74,0.246,0.0,0.246,0.246,0.3903,0.0,0.3903,0.3903,0.6021,0.0,0.6021,0.6021,10.7796,0.0,10.7796,10.7796,0.0387,0.0,0.0387,0.0387,0.0608,0.0,0.0608,0.0608,0.0053,0.0,0.0053,0.0053,0.0688,0.0,0.0688,0.0688,0.267,0.0,0.267,0.267,0.5388,0.0,0.5388,0.5388,0.9446,0.0,0.9446,0.9446
SemanticScholar-bigger,ACS,5,93,0.356,0.0,0.356,0.356,0.3068,0.0,0.3068,0.3068,0.3804,0.0,0.3804,0.3804,0.6667,0.0,0.6667,0.6667,0.1355,0.0,0.1355,0.1355,0.3267,0.0,0.3267,0.3267,0.9571,0.0,0.9571,0.9571,17.4751,0.0,17.4751,17.4751,0.442,0.0,0.442,0.442,0.3637,0.0,0.3637,0.3637,0.3411,0.0,0.3411,0.3411,0.0053,0.0,0.0053,0.0053,0.9935,0.0,0.9935,0.9935,0.0064,0.0,0.0064,0.0064,1.0,0.0,1.0,1.0
