dataset,model,k_reveal,n_users,recall,recall_std,recall_ci_lo,recall_ci_hi,ndcg,ndcg_std,ndcg_ci_lo,ndcg_ci_hi,mrr,mrr_std,mrr_ci_lo,mrr_ci_hi,hr,hr_std,hr_ci_lo,hr_ci_hi,precision,precision_std,precision_ci_lo,precision_ci_hi,intra_diversity,intra_diversity_std,intra_diversity_ci_lo,intra_diversity_ci_hi,auc,auc_std,auc_ci_lo,auc_ci_hi,novelty,novelty_std,novelty_ci_lo,novelty_ci_hi,avg_risk,avg_risk_std,avg_risk_ci_lo,avg_risk_ci_hi,head_recall,head_recall_std,head_recall_ci_lo,head_recall_ci_hi,tail_recall,tail_recall_std,tail_recall_ci_lo,tail_recall_ci_hi,coverage,coverage_std,coverage_ci_lo,coverage_ci_hi,coverage_relative,coverage_relative_std,coverage_relative_ci_lo,coverage_relative_ci_hi,gini,gini_std,gini_ci_lo,gini_ci_hi,personalisation,personalisation_std,personalisation_ci_lo,personalisation_ci_hi
MovieLens-1M,ItemKNN,1,100,0.0604,0.0,0.0604,0.0604,0.317,0.0,0.317,0.317,0.501,0.0,0.501,0.501,0.76,0.0,0.76,0.76,0.307,0.0,0.307,0.307,0.3937,0.0,0.3937,0.3937,0.7383,0.0,0.7383,0.7383,10.3697,0.0,10.3697,10.3697,0.3346,0.0,0.3346,0.3346,0.0728,0.0,0.0728,0.0728,0.0036,0.0,0.0036,0.0036,0.1138,0.0,0.1138,0.1138,0.442,0.0,0.442,0.442,0.5181,0.0,0.5181,0.5181,0.9158,0.0,0.9158,0.9158
MovieLens-1M,ItemKNN,5,100,0.0288,0.0,0.0288,0.0288,0.1841,0.0,0.1841,0.1841,0.3298,0.0,0.3298,0.3298,0.65,0.0,0.65,0.65,0.178,0.0,0.178,0.178,0.3544,0.0,0.3544,0.3544,0.6364,0.0,0.6364,0.6364,12.0531,0.0,12.0531,12.0531,0.4182,0.0,0.4182,0.4182,0.0324,0.0,0.0324,0.0324,0.0081,0.0,0.0081,0.0081,0.1599,0.0,0.1599,0.1599,0.621,0.0,0.621,0.621,0.3011,0.0,0.3011,0.3011,0.9905,0.0,0.9905,0.9905
MovieLens-1M,Popularity-Safe,1,100,0.1088,0.0,0.1088,0.1088,0.528,0.0,0.528,0.528,0.7603,0.0,0.7603,0.7603,0.99,0.0,0.99,0.99,0.509,0.0,0.509,0.509,0.4293,0.0,0.4293,0.4293,0.8768,0.0,0.8768,0.8768,8.1132,0.0,8.1132,8.1132,0.2369,0.0,0.2369,0.2369,0.1349,0.0,0.1349,0.1349,0.0,0.0,0.0,0.0,0.0116,0.0,0.0116,0.0116,0.045,0.0,0.045,0.045,0.5124,0.0,0.5124,0.5124,0.7224,0.0,0.7224,0.7224
MovieLens-1M,Popularity-Safe,5,100,0.1079,0.0,0.1079,0.1079,0.5091,0.0,0.5091,0.5091,0.7366,0.0,0.7366,0.7366,0.98,0.0,0.98,0.98,0.489,0.0,0.489,0.489,0.4309,0.0,0.4309,0.4309,0.8755,0.0,0.8755,0.8755,8.1356,0.0,8.1356,8.1356,0.2445,0.0,0.2445,0.2445,0.1334,0.0,0.1334,0.1334,0.0,0.0,0.0,0.0,0.0118,0.0,0.0118,0.0118,0.046,0.0,0.046,0.046,0.4801,0.0,0.4801,0.4801,0.7554,0.0,0.7554,0.7554
MovieLens-20M,ItemKNN,1,100,0.1009,0.0,0.1009,0.1009,0.4092,0.0,0.4092,0.4092,0.5735,0.0,0.5735,0.5735,0.87,0.0,0.87,0.87,0.399,0.0,0.399,0.399,0.3997,0.0,0.3997,0.3997,0.8135,0.0,0.8135,0.8135,12.1239,0.0,12.1239,12.1239,0.3206,0.0,0.3206,0.3206,0.102,0.0,0.102,0.102,0.0,0.0,0.0,0.0,0.0199,0.0,0.0199,0.0199,0.542,0.0,0.542,0.542,0.4268,0.0,0.4268,0.4268,0.9592,0.0,0.9592,0.9592
MovieLens-20M,ItemKNN,5,100,0.077,0.0,0.077,0.077,0.2936,0.0,0.2936,0.2936,0.4869,0.0,0.4869,0.4869,0.82,0.0,0.82,0.82,0.28,0.0,0.28,0.28,0.3613,0.0,0.3613,0.3613,0.7453,0.0,0.7453,0.7453,14.1656,0.0,14.1656,14.1656,0.3739,0.0,0.3739,0.3739,0.0776,0.0,0.0776,0.0776,0.0152,0.0,0.0152,0.0152,0.0275,0.0,0.0275,0.0275,0.749,0.0,0.749,0.749,0.2235,0.0,0.2235,0.2235,0.9947,0.0,0.9947,0.9947
MovieLens-20M,Popularity-Safe,1,100,0.1757,0.0,0.1757,0.1757,0.6595,0.0,0.6595,0.6595,0.8167,0.0,0.8167,0.8167,0.98,0.0,0.98,0.98,0.64,0.0,0.64,0.64,0.428,0.0,0.428,0.428,0.9586,0.0,0.9586,0.9586,8.2683,0.0,8.2683,8.2683,0.2405,0.0,0.2405,0.2405,0.1773,0.0,0.1773,0.1773,0.0,0.0,0.0,0.0,0.0045,0.0,0.0045,0.0045,0.124,0.0,0.124,0.124,0.6524,0.0,0.6524,0.6524,0.8229,0.0,0.8229,0.8229
MovieLens-20M,Popularity-Safe,5,100,0.186,0.0,0.186,0.186,0.6515,0.0,0.6515,0.6515,0.8096,0.0,0.8096,0.8096,0.98,0.0,0.98,0.98,0.63,0.0,0.63,0.63,0.4295,0.0,0.4295,0.4295,0.959,0.0,0.959,0.959,8.3169,0.0,8.3169,8.3169,0.2372,0.0,0.2372,0.2372,0.1877,0.0,0.1877,0.1877,0.0,0.0,0.0,0.0,0.0051,0.0,0.0051,0.0051,0.14,0.0,0.14,0.14,0.6526,0.0,0.6526,0.6526,0.8384,0.0,0.8384,0.8384
MovieLens-25M,ItemKNN,1,100,0.1041,0.0,0.1041,0.1041,0.4128,0.0,0.4128,0.4128,0.5631,0.0,0.5631,0.5631,0.86,0.0,0.86,0.86,0.407,0.0,0.407,0.407,0.3915,0.0,0.3915,0.3915,0.8215,0.0,0.8215,0.8215,12.9418,0.0,12.9418,12.9418,0.306,0.0,0.306,0.306,0.1044,0.0,0.1044,0.1044,0.0333,0.0,0.0333,0.0333,0.0092,0.0,0.0092,0.0092,0.573,0.0,0.573,0.573,0.3946,0.0,0.3946,0.3946,0.9708,0.0,0.9708,0.9708
MovieLens-25M,ItemKNN,5,100,0.0975,0.0,0.0975,0.0975,0.3466,0.0,0.3466,0.3466,0.5199,0.0,0.5199,0.5199,0.89,0.0,0.89,0.89,0.341,0.0,0.341,0.341,0.3689,0.0,0.3689,0.3689,0.7935,0.0,0.7935,0.7935,13.9241,0.0,13.9241,13.9241,0.3358,0.0,0.3358,0.3358,0.0978,0.0,0.0978,0.0978,0.0,0.0,0.0,0.0,0.0108,0.0,0.0108,0.0108,0.676,0.0,0.676,0.676,0.2883,0.0,0.2883,0.2883,0.9924,0.0,0.9924,0.9924
