dataset,model,k_reveal,Recall@10,NDCG@10,n_users
MovieLens-1M,Popularity-Safe,3,0.1427,0.6716,30
MovieLens-1M,Popularity-Safe,5,0.1436,0.6622,30
MovieLens-1M,Popularity-Safe,10,0.1447,0.6203,30
MovieLens-1M,LinUCB,3,0.0159,0.136,30
MovieLens-1M,LinUCB,5,0.0253,0.1772,30
MovieLens-1M,LinUCB,10,0.0196,0.1667,30
MovieLens-1M,SND,3,0.067,0.3658,30
MovieLens-1M,SND,5,0.057,0.3266,30
MovieLens-1M,SND,10,0.1202,0.3689,30
MovieLens-1M,ACS+SND,3,0.1461,0.5896,30
MovieLens-1M,ACS+SND,5,0.1381,0.536,30
MovieLens-1M,ACS+SND,10,0.1405,0.5223,30
MovieLens-1M,ACS+SND+R(a),3,0.1431,0.5768,30
MovieLens-1M,ACS+SND+R(a),5,0.1364,0.5429,30
MovieLens-1M,ACS+SND+R(a),10,0.1404,0.5203,30
MovieLens-20M,Popularity-Safe,3,0.1956,0.7491,30
MovieLens-20M,Popularity-Safe,5,0.1971,0.7516,30
MovieLens-20M,Popularity-Safe,10,0.2216,0.7442,30
MovieLens-20M,LinUCB,3,0.0038,0.0325,30
MovieLens-20M,LinUCB,5,0.0083,0.0533,30
MovieLens-20M,LinUCB,10,0.012,0.0673,30
MovieLens-20M,SND,3,0.133,0.4692,30
MovieLens-20M,SND,5,0.1322,0.4113,30
MovieLens-20M,SND,10,0.1707,0.4587,30
MovieLens-20M,ACS+SND,3,0.152,0.6305,30
MovieLens-20M,ACS+SND,5,0.141,0.5734,30
MovieLens-20M,ACS+SND,10,0.1353,0.5548,30
MovieLens-20M,ACS+SND+R(a),3,0.1496,0.6043,30
MovieLens-20M,ACS+SND+R(a),5,0.1398,0.5646,30
MovieLens-20M,ACS+SND+R(a),10,0.1352,0.5547,30
MovieLens-25M,Popularity-Safe,3,0.2904,0.733,30
MovieLens-25M,Popularity-Safe,5,0.2918,0.7214,30
MovieLens-25M,Popularity-Safe,10,0.3245,0.7146,30
MovieLens-25M,LinUCB,3,0.0047,0.0423,30
MovieLens-25M,LinUCB,5,0.0022,0.0244,30
MovieLens-25M,LinUCB,10,0.0002,0.0022,30
MovieLens-25M,SND,3,0.204,0.5589,30
MovieLens-25M,SND,5,0.2273,0.5934,30
MovieLens-25M,SND,10,0.2857,0.5965,30
MovieLens-25M,ACS+SND,3,0.2219,0.6366,30
MovieLens-25M,ACS+SND,5,0.2356,0.6301,30
MovieLens-25M,ACS+SND,10,0.2442,0.6009,30
MovieLens-25M,ACS+SND+R(a),3,0.212,0.6104,30
MovieLens-25M,ACS+SND+R(a),5,0.2284,0.614,30
MovieLens-25M,ACS+SND+R(a),10,0.2442,0.5988,30
SemanticScholar-bigger,Popularity-Safe,3,0.1378,0.1496,26
SemanticScholar-bigger,Popularity-Safe,5,0.1343,0.1496,25
SemanticScholar-bigger,Popularity-Safe,10,0.1298,0.1581,16
SemanticScholar-bigger,LinUCB,3,0.0812,0.0938,26
SemanticScholar-bigger,LinUCB,5,0.1133,0.1254,25
SemanticScholar-bigger,LinUCB,10,0.1758,0.1817,16
SemanticScholar-bigger,SND,3,0.6764,0.5867,26
SemanticScholar-bigger,SND,5,0.6915,0.6003,25
SemanticScholar-bigger,SND,10,0.6208,0.5421,16
SemanticScholar-bigger,ACS+SND,3,0.4912,0.4757,26
SemanticScholar-bigger,ACS+SND,5,0.7008,0.5787,25
SemanticScholar-bigger,ACS+SND,10,0.5217,0.4676,16
SemanticScholar-bigger,ACS+SND+R(a),3,0.4491,0.4315,26
SemanticScholar-bigger,ACS+SND+R(a),5,0.596,0.4865,25
SemanticScholar-bigger,ACS+SND+R(a),10,0.4896,0.4691,16
SemanticScholar-small,Popularity-Safe,3,0.0864,0.066,30
SemanticScholar-small,Popularity-Safe,5,0.0795,0.0521,30
SemanticScholar-small,Popularity-Safe,10,0.125,0.0767,10
SemanticScholar-small,LinUCB,3,0.0817,0.0411,30
SemanticScholar-small,LinUCB,5,0.1056,0.0675,30
SemanticScholar-small,LinUCB,10,0.1,0.0289,10
SemanticScholar-small,SND,3,0.6453,0.3903,30
SemanticScholar-small,SND,5,0.7151,0.4238,30
SemanticScholar-small,SND,10,0.69,0.5117,10
SemanticScholar-small,ACS+SND,3,0.3183,0.2374,30
SemanticScholar-small,ACS+SND,5,0.3948,0.2581,30
SemanticScholar-small,ACS+SND,10,0.6067,0.3929,10
SemanticScholar-small,ACS+SND+R(a),3,0.3217,0.2508,30
SemanticScholar-small,ACS+SND+R(a),5,0.3598,0.2249,30
SemanticScholar-small,ACS+SND+R(a),10,0.3983,0.226,10
