dataset,model,k_reveal,Recall@10
MovieLens-1M,Popularity-Safe,1,0.1338
MovieLens-1M,Popularity-Safe,2,0.1385
MovieLens-1M,Popularity-Safe,3,0.1427
MovieLens-1M,Popularity-Safe,4,0.1455
MovieLens-1M,Popularity-Safe,5,0.1436
MovieLens-1M,Popularity-Safe,6,0.1416
MovieLens-1M,Popularity-Safe,7,0.143
MovieLens-1M,Popularity-Safe,8,0.1462
MovieLens-1M,Popularity-Safe,9,0.1473
MovieLens-1M,Popularity-Safe,10,0.1447
MovieLens-1M,LinUCB,1,0.0161
MovieLens-1M,LinUCB,2,0.0185
MovieLens-1M,LinUCB,3,0.0159
MovieLens-1M,LinUCB,4,0.022
MovieLens-1M,LinUCB,5,0.0253
MovieLens-1M,LinUCB,6,0.0197
MovieLens-1M,LinUCB,7,0.0201
MovieLens-1M,LinUCB,8,0.0208
MovieLens-1M,LinUCB,9,0.022
MovieLens-1M,LinUCB,10,0.0196
MovieLens-1M,SND,1,0.1068
MovieLens-1M,SND,2,0.0741
MovieLens-1M,SND,3,0.067
MovieLens-1M,SND,4,0.0586
MovieLens-1M,SND,5,0.057
MovieLens-1M,SND,6,0.0826
MovieLens-1M,SND,7,0.0838
MovieLens-1M,SND,8,0.0788
MovieLens-1M,SND,9,0.085
MovieLens-1M,SND,10,0.1202
MovieLens-1M,ACS+SND,1,0.1791
MovieLens-1M,ACS+SND,2,0.163
MovieLens-1M,ACS+SND,3,0.1461
MovieLens-1M,ACS+SND,4,0.1442
MovieLens-1M,ACS+SND,5,0.1381
MovieLens-1M,ACS+SND,6,0.1473
MovieLens-1M,ACS+SND,7,0.1412
MovieLens-1M,ACS+SND,8,0.1496
MovieLens-1M,ACS+SND,9,0.1354
MovieLens-1M,ACS+SND,10,0.1405
MovieLens-1M,ACS+SND+R(a),1,0.1556
MovieLens-1M,ACS+SND+R(a),2,0.1481
MovieLens-1M,ACS+SND+R(a),3,0.1431
MovieLens-1M,ACS+SND+R(a),4,0.1427
MovieLens-1M,ACS+SND+R(a),5,0.1364
MovieLens-1M,ACS+SND+R(a),6,0.1456
MovieLens-1M,ACS+SND+R(a),7,0.1392
MovieLens-1M,ACS+SND+R(a),8,0.1476
