dataset,model,first_step_skip_rate,cum_reward
MovieLens-1M,With R(a) λ=0.3,0.3333,5.5667
MovieLens-1M,Without R(a) λ=0,0.3,5.9667
MovieLens-20M,With R(a) λ=0.3,0.3333,5.2667
MovieLens-20M,Without R(a) λ=0,0.2667,6.2667
MovieLens-25M,With R(a) λ=0.3,0.4,5.1667
MovieLens-25M,Without R(a) λ=0,0.3333,6.1333
SemanticScholar-bigger,With R(a) λ=0.3,0.8333,1.9
SemanticScholar-bigger,Without R(a) λ=0,0.7667,2.2
SemanticScholar-small,With R(a) λ=0.3,0.9,1.1667
SemanticScholar-small,Without R(a) λ=0,0.8,1.2
