dataset,model,k_reveal,Recall@10,NDCG@10,n_users
MovieLens-1M,Popularity-Safe,3,0.1524,0.6775,30
MovieLens-1M,Popularity-Safe,5,0.1559,0.6678,30
MovieLens-1M,Popularity-Safe,10,0.1522,0.6127,30
MovieLens-1M,LinUCB,3,0.0267,0.166,30
MovieLens-1M,LinUCB,5,0.0151,0.1626,30
MovieLens-1M,LinUCB,10,0.0188,0.1849,30
MovieLens-1M,SND,3,0.0777,0.3656,30
MovieLens-1M,SND,5,0.0706,0.3161,30
MovieLens-1M,SND,10,0.0922,0.3275,30
MovieLens-1M,ACS+SND,3,0.1235,0.5141,30
MovieLens-1M,ACS+SND,5,0.1289,0.5006,30
MovieLens-1M,ACS+SND,10,0.1386,0.5081,30
MovieLens-1M,ACS+SND+R(a),3,0.1232,0.5065,30
MovieLens-1M,ACS+SND+R(a),5,0.1289,0.5009,30
MovieLens-1M,ACS+SND+R(a),10,0.1386,0.5084,30
MovieLens-20M,Popularity-Safe,3,0.1811,0.7318,30
MovieLens-20M,Popularity-Safe,5,0.1847,0.7353,30
MovieLens-20M,Popularity-Safe,10,0.2071,0.7289,30
MovieLens-20M,LinUCB,3,0.014,0.0928,30
MovieLens-20M,LinUCB,5,0.0216,0.1261,30
MovieLens-20M,LinUCB,10,0.0419,0.1357,30
MovieLens-20M,SND,3,0.1236,0.4434,30
MovieLens-20M,SND,5,0.1297,0.4099,30
MovieLens-20M,SND,10,0.1952,0.4745,30
MovieLens-20M,ACS+SND,3,0.1287,0.5236,30
MovieLens-20M,ACS+SND,5,0.1193,0.4959,30
MovieLens-20M,ACS+SND,10,0.1652,0.522,30
MovieLens-20M,ACS+SND+R(a),3,0.1287,0.5289,30
MovieLens-20M,ACS+SND+R(a),5,0.1191,0.4968,30
MovieLens-20M,ACS+SND+R(a),10,0.166,0.5213,30
MovieLens-25M,Popularity-Safe,3,0.2855,0.7242,30
MovieLens-25M,Popularity-Safe,5,0.2883,0.7147,30
MovieLens-25M,Popularity-Safe,10,0.3259,0.7122,30
MovieLens-25M,LinUCB,3,0.0074,0.0554,30
MovieLens-25M,LinUCB,5,0.0126,0.0543,30
MovieLens-25M,LinUCB,10,0.0143,0.0488,30
MovieLens-25M,SND,3,0.2002,0.5196,30
MovieLens-25M,SND,5,0.2275,0.5736,30
MovieLens-25M,SND,10,0.2652,0.5829,30
MovieLens-25M,ACS+SND,3,0.151,0.5361,30
MovieLens-25M,ACS+SND,5,0.1544,0.5467,30
MovieLens-25M,ACS+SND,10,0.1815,0.4864,30
MovieLens-25M,ACS+SND+R(a),3,0.151,0.5352,30
MovieLens-25M,ACS+SND+R(a),5,0.1563,0.5505,30
MovieLens-25M,ACS+SND+R(a),10,0.1788,0.4826,30
SemanticScholar-bigger,Popularity-Safe,3,0.1266,0.1357,26
SemanticScholar-bigger,Popularity-Safe,5,0.136,0.1424,25
SemanticScholar-bigger,Popularity-Safe,10,0.1028,0.1412,16
SemanticScholar-bigger,LinUCB,3,0.0777,0.0683,26
SemanticScholar-bigger,LinUCB,5,0.1138,0.1109,25
SemanticScholar-bigger,LinUCB,10,0.0991,0.1104,16
SemanticScholar-bigger,SND,3,0.6501,0.5267,26
SemanticScholar-bigger,SND,5,0.6888,0.5907,25
SemanticScholar-bigger,SND,10,0.5732,0.4456,16
SemanticScholar-bigger,ACS+SND,3,0.1242,0.1127,26
SemanticScholar-bigger,ACS+SND,5,0.1942,0.1721,25
SemanticScholar-bigger,ACS+SND,10,0.354,0.2393,16
SemanticScholar-bigger,ACS+SND+R(a),3,0.1242,0.1126,26
SemanticScholar-bigger,ACS+SND+R(a),5,0.1942,0.1715,25
SemanticScholar-bigger,ACS+SND+R(a),10,0.354,0.2371,16
SemanticScholar-small,Popularity-Safe,3,0.1114,0.0621,30
SemanticScholar-small,Popularity-Safe,5,0.1275,0.0573,30
SemanticScholar-small,Popularity-Safe,10,0.15,0.0727,10
SemanticScholar-small,LinUCB,3,0.04,0.018,30
SemanticScholar-small,LinUCB,5,0.0333,0.0096,30
SemanticScholar-small,LinUCB,10,0.0,0.0,10
SemanticScholar-small,SND,3,0.5483,0.3615,30
SemanticScholar-small,SND,5,0.6684,0.3613,30
SemanticScholar-small,SND,10,0.5733,0.4474,10
SemanticScholar-small,ACS+SND,3,0.3661,0.1597,30
SemanticScholar-small,ACS+SND,5,0.2623,0.1262,30
SemanticScholar-small,ACS+SND,10,0.245,0.1008,10
SemanticScholar-small,ACS+SND+R(a),3,0.3661,0.1597,30
SemanticScholar-small,ACS+SND+R(a),5,0.2623,0.1247,30
SemanticScholar-small,ACS+SND+R(a),10,0.245,0.1008,10
