dataset,model,k_reveal,Recall@10
MovieLens-1M,Popularity-Safe,1,0.1445
MovieLens-1M,Popularity-Safe,2,0.1521
MovieLens-1M,Popularity-Safe,3,0.1524
MovieLens-1M,Popularity-Safe,4,0.1558
MovieLens-1M,Popularity-Safe,5,0.1559
MovieLens-1M,Popularity-Safe,6,0.1525
MovieLens-1M,Popularity-Safe,7,0.1522
MovieLens-1M,Popularity-Safe,8,0.1489
MovieLens-1M,Popularity-Safe,9,0.1488
MovieLens-1M,Popularity-Safe,10,0.1522
MovieLens-1M,LinUCB,1,0.0184
MovieLens-1M,LinUCB,2,0.0174
MovieLens-1M,LinUCB,3,0.0267
MovieLens-1M,LinUCB,4,0.0276
MovieLens-1M,LinUCB,5,0.0151
MovieLens-1M,LinUCB,6,0.0198
MovieLens-1M,LinUCB,7,0.0185
MovieLens-1M,LinUCB,8,0.0158
MovieLens-1M,LinUCB,9,0.0132
MovieLens-1M,LinUCB,10,0.0188
MovieLens-1M,SND,1,0.1073
MovieLens-1M,SND,2,0.0805
MovieLens-1M,SND,3,0.0777
MovieLens-1M,SND,4,0.0838
MovieLens-1M,SND,5,0.0706
MovieLens-1M,SND,6,0.0871
MovieLens-1M,SND,7,0.0783
MovieLens-1M,SND,8,0.082
MovieLens-1M,SND,9,0.0826
MovieLens-1M,SND,10,0.0922
MovieLens-1M,ACS+SND,1,0.134
MovieLens-1M,ACS+SND,2,0.1166
MovieLens-1M,ACS+SND,3,0.1235
MovieLens-1M,ACS+SND,4,0.1197
MovieLens-1M,ACS+SND,5,0.1289
MovieLens-1M,ACS+SND,6,0.111
MovieLens-1M,ACS+SND,7,0.1198
MovieLens-1M,ACS+SND,8,0.1289
MovieLens-1M,ACS+SND,9,0.1238
MovieLens-1M,ACS+SND,10,0.1386
MovieLens-1M,ACS+SND+R(a),1,0.1342
MovieLens-1M,ACS+SND+R(a),2,0.1168
MovieLens-1M,ACS+SND+R(a),3,0.1232
MovieLens-1M,ACS+SND+R(a),4,0.1199
MovieLens-1M,ACS+SND+R(a),5,0.1289
MovieLens-1M,ACS+SND+R(a),6,0.1124
MovieLens-1M,ACS+SND+R(a),7,0.12
MovieLens-1M,ACS+SND+R(a),8,0.1291
MovieLens-1M,ACS+SND+R(a),9,0.1242
MovieLens-1M,ACS+SND+R(a),10,0.1386
MovieLens-20M,Popularity-Safe,1,0.1841
MovieLens-20M,Popularity-Safe,2,0.1806
MovieLens-20M,Popularity-Safe,3,0.1811
MovieLens-20M,Popularity-Safe,4,0.1859
MovieLens-20M,Popularity-Safe,5,0.1847
MovieLens-20M,Popularity-Safe,6,0.1894
MovieLens-20M,Popularity-Safe,7,0.1947
MovieLens-20M,Popularity-Safe,8,0.1985
